Education Field,Program Name,County,Municipality,Multiple Municipalities,YH Points,Provider Admin Unit,Case Number,Year,Study Weeks,Study Years
Data/It,.Net Utvecklare,Västra Götaland,Göteborg,0,400,Plushögskolan Ab - Teknikhögskolan,MYH 2020/4403,2020,80,1.54
Data/It,.Net-Utvecklare,Stockholm,Stockholm,0,400,It-Högskolan Stockholm Ab,MYH 2020/5766,2020,80,1.54
Data/It,.Net-Utvecklare,Västra Götaland,Göteborg,0,400,It-Högskolan Sverige Ab,MYH 2020/5764,2020,80,1.54
Data/It,Agil Javautvecklare,Gävleborg,Gävle,0,400,Edugrade Ab,MYH 2020/5827,2020,80,1.54
Data/It,Agil Projektledare,Skåne,Malmö,0,225,Ihm Business School Ab Malmö,MYH 2020/5354,2020,45,0.87
Data/It,Agil Projektledare,Stockholm,Stockholm,0,225,Ihm Business School Ab Stockholm,MYH 2020/5326,2020,45,0.87
Data/It,Agil Systemutvecklare I Java Och Javascript,Norrbotten,Piteå,0,400,Lernia Utbildning Ab,MYH 2020/5071,2020,80,1.54
Data/It,Agile Project Manager,Stockholm,Stockholm,0,300,Changemaker Educations Ab,MYH 2020/4824,2020,60,1.15
Data/It,Applikationsutvecklare Mobila Enheter,Flera Kommuner,Flera Kommuner,1,400,Kyh Ab,MYH 2020/4432,2020,80,1.54
Data/It,Backend-Utvecklare,Flera Kommuner,Flera Kommuner,1,400,"Uddevalla Kommun, Vuxenutbildningen",MYH 2020/4560,2020,80,1.54
Data/It,Cloud And It-Infrastructure Specialist,Kalmar,Kalmar,0,400,"Kalmarsunds Gymnasieförbund, Axel Weüdelskolan",MYH 2020/4804,2020,80,1.54
Data/It,Cloud Developer Azure,Västra Götaland,Göteborg,0,400,It-Högskolan Sverige Ab,MYH 2020/5759,2020,80,1.54
Data/It,Data Analyst,Stockholm,Stockholm,0,400,Hyper Island Program Ab - Stockholm,MYH 2020/5145,2020,80,1.54
Data/It,Data Scientist,Flera Kommuner,Flera Kommuner,1,400,Ec Utbildning Ab Helsingborg,MYH 2020/5325,2020,80,1.54
Data/It,Data Scientist,Stockholm,Solna,0,400,Ec Utbildning Ab Stockholm,MYH 2020/5003,2020,80,1.54
Data/It,Devops Engineer,Skåne,Malmö,0,400,Jensen Education School Ab,MYH 2020/5725,2020,80,1.54
Data/It,Devops Engineer,Stockholm,Solna,0,400,Nackademin Ab,MYH 2020/5245,2020,80,1.54
Data/It,Devops Engineer,Stockholm,Stockholm,0,415,Chas Academy Ab,MYH 2020/5801,2020,83,1.6
Data/It,Front End Developer,Flera Kommuner,Flera Kommuner,1,400,Kyh Ab,MYH 2020/4521,2020,80,1.54
Data/It,Front End Developer Distans,Stockholm,Stockholm,0,400,Medieinstitutet I Sverige Ab,MYH 2020/5676,2020,80,1.54
Data/It,Front End Webbutvecklare,Skåne,Malmö,0,400,Grit Academy Ab,MYH 2020/4907,2020,80,1.54
Data/It,Frontend / App Developer,Stockholm,Stockholm,0,450,Changemaker Educations Ab,MYH 2020/4827,2020,90,1.73
Data/It,Frontendutvecklare,Värmland,Karlstad,0,400,Folkuniversitetet Kursverksamheten Vid Göteborgs Universitet,MYH 2020/5048,2020,80,1.54
Data/It,Frontend-Utvecklare,Stockholm,Solna,0,400,Nackademin Ab,MYH 2020/5302,2020,80,1.54
Data/It,Fullstack Webbutvecklare,Stockholm,Stockholm,0,420,Chas Academy Ab,MYH 2020/4926,2020,84,1.62
Data/It,Futuregames Spelprogrammerare,Flera Kommuner,Flera Kommuner,1,550,Changemaker Educations Ab,MYH 2020/4849,2020,110,2.12
Data/It,Internet Of Things Developer,Västra Götaland,Göteborg,0,410,Kyh Ab Göteborg,MYH 2020/4578,2020,82,1.58
